cityEn,userName,comment,commentTime,praiseNum
hong-kong,JessieJAY820,111111,2025-06-07 09:19:52,0
hong-kong,mimimiminiuge,alert(2),2025-05-09 21:00:45,0
hong-kong,Whym7,维多利亚港令人印象深刻。,2024-12-19 23:56:50,0
hong-kong,likago,东京,2024-04-13 15:38:12,0
hong-kong,罗胖娃,挺好,2023-08-01 09:47:07,0
hong-kong,launbu111,8901298,2022-10-13 13:18:51,0
hong-kong,IGyw8899,夜城市，繁华节奏快,2021-06-20 14:18:48,0
hong-kong,sheeyee,人生中繁忙但不失美好的一段经历，喜欢繁华与天然浑然一体的舒适氛围,2021-04-26 23:29:06,0
hong-kong,小布丁小元宝,仅作为航班中转站，在机场转悠了一天~,2021-02-20 14:10:05,0
hong-kong,Chen_mm,香港的街道狭窄，生活节奏快，最不好的一点是，许多人看不起内地人的，特别讲国语的，我们讲粤语还好那么一点点。,2020-11-10 21:20:32,0
hong-kong,刘祥宇的游记生活,中西文化的交融，这里有繁华，有活力，有激情。,2020-09-01 16:53:39,0
hong-kong,王静0251,2008年我俩和爸爸妈妈带着VV一起去的，在那里和老公的弟弟一家相约同游。因为太出名，所以期望值很高，于是失望值就不小。没什么好吃的，我又不爱买东西，那打着“买东西，吃东西。”的头衔，终究不是我的追求。,2020-07-01 17:26:31,0
hong-kong,ALEX西行,部分港民素质较低，说普通话容易被歧视，服务员对陆客态度差。由于目前反中思想横行，不建议到香港旅行。,2020-05-04 20:04:23,0
hong-kong,柯显昱,第一次去迪士尼，因为游客弄坏水杯而理论,2020-04-02 18:50:27,0
hong-kong,玉树琳风,太好吃了。房价太贵。中环，兰桂坊，美女很多,2019-12-04 18:35:09,0
hong-kong,波塞咚咚,香港值得一去,2019-11-28 17:14:14,0
hong-kong,Gavin小朋友,从小看到大的香港电影，去了发现简直是童年回忆杀。,2019-11-12 10:31:48,0
hong-kong,monokrome,节奏很快的地方，但太多高楼了有点不太舒服说实话，不过等这段时间过了 或许会过去找在hk的朋友们,2019-10-08 01:51:36,0
hong-kong,Mentos曼瘦思,如果不是要追演唱会，不会考虑去，哈哈哈,2019-09-29 17:52:03,0
hong-kong,ceacea,去过太平山顶，去的时候是圣诞节，天气不好，下雨没看到风景，但是去蜡像馆我玩得很开心！第二天去了海洋公园，海洋公园挺好玩的，很适合家庭出游。,2019-09-07 23:36:36,0
macau,Whym7,威尼斯人蛮漂亮的。大三巴人太多。,2024-12-19 23:58:30,0
macau,PUI2017,我是地膽,2023-04-19 14:44:31,0
macau,Chen_mm,澳门整体感觉比香港好，人们也友善，香港人赚着国内人钱却看不起人。,2020-11-10 21:16:20,1
macau,王静0251,2008年我俩带着爸爸妈妈和VV一起从香港坐轮船过去的。让我欣赏的一个小地方，不遗余力地保留了很多古迹，而新潮的赌场却也雨后春笋般拔地而起。东西汇聚，新旧并存的绝妙演绎。,2020-07-01 15:10:20,0
macau,柯显昱,未满21岁 偷偷进赌场,2020-04-02 18:49:28,0
macau,Ballard,澳门虽小，但是其历史地位足够配得上她作为省级行政单位。葡萄牙人在澳门几百年的耕耘，给澳门带来了数不清的宗教文化遗产，并伴随着葡人大航海的脚步，让澳门成为了亚洲的贸易中心。在澳门，你可以用脚步丈量这个全世界人民共建的城市。,2020-01-12 11:01:38,0
macau,玉树琳风,赌钱还赚了点回来了,2019-12-04 18:35:34,0
macau,monokrome,猪肉铺好吃，但就怎么说蛋挞价格太不值得了。威尼斯人逛的不错,2019-10-08 01:54:06,0
macau,Meettttt,被葡萄牙殖民了好几个世纪的地方，浓郁的葡萄牙风情，走在路上有种身处欧洲的错觉。,2019-07-17 05:34:06,0
macau,十分猪,澳门之于香港，珠海之于深圳，前者静谧闲适，后者喧闹疾驰,2019-06-25 22:13:44,0
macau,user_DEEH0MOLG9,有钱男人的天堂。,2019-06-10 11:24:14,0
macau,李比尔盖饭,人山人海。      能赢钱。,2019-05-16 22:04:20,0
macau,阿八的橙子,多人,2019-04-29 10:49:01,0
macau,Sissi公主爱妈妈,赌场没有去,2019-04-16 19:44:18,0
macau,user_1Sji0LxSpy,葡国菜,2019-04-16 01:05:08,0
macau,yaya0422,钜记手信,2019-04-15 15:34:43,0
macau,76ers,豪华,2019-04-07 12:20:55,0
macau,国伦,有很多漂亮的古老街道…很有特色…,2019-03-29 12:27:05,0
macau,蓝布格子,别样风情,2019-03-29 00:02:47,1
macau,云锦天章,舒适，不赌钱，你也能找到好玩的地方。,2019-03-27 14:12:37,0
taipei,IGyw8899,热闹，夜城市热情,2021-06-20 14:18:05,0
taipei,user_cK9H0OY4kH,台北去了二次，16年要换届，15年12月再去，拖了几年还是封，台湾软件服务可以，硬件建设落后，宝岛二次玩，,2020-04-07 18:10:24,0
taipei,kkishere,台北第一眼看像是内地二三线城市，但那只是公共设施和高楼大厦的外貌而已。真正值得慢慢品味，不适合暴走，多呆几天感受这里人文气息和风土人情,2019-06-04 22:50:31,0
taipei,Jo_W,几年内去了多次，日胜升加贺屋的会席不错,2019-05-22 07:20:40,0
taipei,咦我们见过吗,101大楼确实不好看啊,2020-03-22 12:38:01,0
taipei,Sissi公主爱妈妈,喜欢夜市,2019-04-16 19:44:40,0
taipei,iwendyzhan,淡水棒棒哒,2019-04-09 12:32:58,0
taipei,XiaoNs_Enc,好,2019-04-02 22:46:41,0
taipei,国伦,去了这么多次还是很喜欢这个地方……交通很方便…这里的人又很亲切…,2019-03-29 12:29:47,0
taipei,云锦天章,热情礼貌。,2019-03-27 14:13:15,2
taipei,kanly-lk,小清新,2019-03-24 09:32:19,0
taipei,爆音小子,101各种夜市文化,2019-03-06 00:08:30,0
taipei,futurehihi,人群,2019-03-04 10:44:44,0
taipei,leonlizhou,历史特色,2019-02-26 16:12:22,0
taipei,小手一挥爱TM谁,台北故宫，各种夜市,2019-02-19 14:57:06,0
taipei,咕兔兔,机车很吵,2019-02-07 01:02:04,0
taipei,XL木马,这个城市不需要导览，只需要慢慢融入,2019-01-27 13:46:32,0
taipei,挥着翅膀的猫,台湾人很嗲，台湾又很熟悉的味道,2019-01-23 22:21:02,0
taipei,marcia0000,值得花时间慢慢“寻宝”的地方,2019-01-23 14:19:16,0
taipei,SHGCOM艾希,失去哪里,2019-01-20 19:34:17,0
taiwan,被窝是青春的坟墓,慢节奏很舒服,2022-07-21 14:34:41,0
taiwan,wulalababy,过去的时光停留在台北的街头巷尾以及台北以外的城市里,2019-11-12 03:54:36,0
taiwan,履风人漫游记,至个人自由行取消，一共去了8次的地方，除了离岛，几乎所有地方都去过，最喜欢的还是花莲，纯粹的海蓝色，水田与山相映，时间就那样轻飘飘地溜走了。,2019-10-20 00:49:19,1
taiwan,av1359,人文很喜欢，美食更加爱，性价比非常好av1359,2019-10-12 02:47:44,0
taiwan,tanya田,太平洋的风,2019-09-10 23:49:36,0
taiwan,劼飞,热情有礼。,2019-07-04 14:30:56,0
taiwan,小丸纸去日本,慢生活 人们很友好 文艺十足,2019-06-14 16:43:10,0
taiwan,走遍雪山,很不错！,2019-06-12 12:57:25,0
taiwan,玎言,来了台北和花莲～就单纯的景而言，真的是一言难尽～就看看人吧～大部分还是很善良的～,2019-05-22 21:13:33,0
taiwan,咦我们见过吗,服务态度没的说，不管是酒店、交通、餐饮店的从业人员都非常友好。,2019-05-14 10:34:28,0
taiwan,yaya0422,最爱,2019-04-15 15:35:11,0
taiwan,zhaoyinxia,寻找心中的古早味,2019-04-14 20:00:09,0
taiwan,user_tDUo0LqmiD,啊,2019-04-09 22:11:24,0
taiwan,长沙唐公子,舒服,2019-04-08 15:17:03,0
taiwan,薇珀,想去台湾就觉的暖心又暖胃！,2019-04-07 22:38:58,0
taiwan,扭腰一枝花,并没有想象中的惊艳，也許就是因為他的舊，才會讓你的心更加安靜！,2019-03-31 23:09:30,0
taiwan,小安静呀,台湾真的是一个适合我去的地方，你可以随便瞎逛，喜欢的不是那里的风景，而是人,2019-03-29 12:34:26,0
taiwan,国伦,浓浓的人情味，美美的景色,2019-03-29 12:28:22,0
taiwan,Wang57,阿扁执政时，过转曼谷到台北。,2019-03-28 22:21:58,0
taiwan,carfche,之前去了台北   垦丁和花莲，很喜欢台湾   五一小长假要再去玩,2019-03-26 19:03:12,0
beijing,user_g0Xw0VJ7m0,结束后,2025-03-31 16:40:14,0
beijing,user_2Ieh0Vsa5E,因为考学去过2次，浅尝辄止,2024-10-09 16:25:11,0
beijing,Johor_Strait,总算能点国内的城市了？,2023-12-01 00:18:47,1
beijing,JELive,家在北京,2023-06-24 16:48:49,0
beijing,军中绿花中的黑百合,京西古道，京门铁道古迹历史遗址，直接导航，坐公交车。三个小时单程，周末安排的话一定要早上出发导航到嬉水湾，下车步行朝着妙峰山，就能找到半山腰。徒步的人们，找到隧道楼梯就能下去从1号隧道开始每一条隧道100米长光线比较暗,2022-04-18 14:04:33,0
beijing,fant4s,文化,2021-12-26 16:45:30,0
beijing,handsome1234,我的第三故乡,2021-08-31 12:12:22,2
beijing,横行九州1,北京故宫、北京雍和宫、国家博物馆、北京恭王府都是很值得去参观的地方，但旺季却很难预约到门票，抢不到 怎么样办？,2021-08-01 07:59:28,0
beijing,mylmmm,北京去了很多次了，中国的首都。,2021-06-26 16:49:45,0
beijing,沈阳龙哥,2007年,2021-02-19 12:55:11,0
beijing,alegria_1122,分别的时间太长，记忆有些模糊，有机会还要来走走,2020-06-09 11:18:51,1
